File,Type,Old Name,New Name,Description
fk_segments_links.cpp,function,f,computeNumericalAssignment,Computes numerical assignments from angles and processes crossing data
fk_segments_links.cpp,function,write,writeResultsToJson,Writes computation results to JSON file
fk_segments_links.cpp,variable,acc,accumulator,Accumulator for FK computation results
fk_segments_links.cpp,variable,r,crossingRelations,Vector storing crossing relation types
fk_segments_links.cpp,variable,matrices,crossingMatrices,Matrices defining crossing structures
fk_segments_links.cpp,variable,i,parameter_i,Matrix parameter i for crossing calculations
fk_segments_links.cpp,variable,j,parameter_j,Matrix parameter j for crossing calculations
fk_segments_links.cpp,variable,k,parameter_k,Matrix parameter k for crossing calculations
fk_segments_links.cpp,variable,m,parameter_m,Matrix parameter m for crossing calculations
fk_segments_links.cpp,variable,t,topComponent,Top crossing component index
fk_segments_links.cpp,variable,b,bottomComponent,Bottom crossing component index
fk_segments_links.cpp,variable,q_acc_double,qAccumulatorDouble,Q-power accumulator as double
fk_segments_links.cpp,variable,x_acc_double,xAccumulatorDouble,X-power accumulator as double array
fk_segments_links.cpp,variable,x_acc,xAccumulator,X-power accumulator as integer array
fk_segments_links.cpp,variable,X_MAX,maxXDegrees,Maximum X degrees for each component
fk_segments_links.cpp,variable,prod,totalProductSize,Total product size for term vector
fk_segments_links.cpp,variable,term,polynomialTerms,Vector of polynomial terms represented as bilvectors
fk_segments_links.cpp,variable,init,initialCoefficient,Initial coefficient value
fk_segments_links.cpp,variable,ind,crossingIndex,Index for crossing iteration
fk_segments_links.cpp,variable,infile_,inputFileName,Input file name parameter
fk_segments_links.cpp,variable,outfile_,outputFileName,Output file name parameter
fk_segments_links.cpp,variable,file_,fileName,File name for output
qalg_links.hpp,function,pp_q_binom_,computePositiveQBinomialHelper,Helper function for positive q-binomial coefficient computation
qalg_links.hpp,function,pp_q_binom,computePositiveQBinomial,Computes positive q-binomial coefficients
qalg_links.hpp,function,np_q_binom_,computeNegativeQBinomialHelper,Helper function for negative q-binomial coefficient computation
qalg_links.hpp,function,np_q_binom,computeNegativeQBinomial,Computes negative q-binomial coefficients
qalg_links.hpp,function,x_q_pochhammer,computeXQPochhammer,Computes x-q-Pochhammer symbol
qalg_links.hpp,function,x_q_inv_pochhammer,computeXQInversePochhammer,Computes inverse x-q-Pochhammer symbol
qalg_links.hpp,parameter,i,upperLimit,Upper limit parameter for binomial computation
qalg_links.hpp,parameter,j,lowerLimit,Lower limit parameter for binomial computation
qalg_links.hpp,variable,Q_MAX_DEGREE,maxQDegree,Maximum degree in q for binomial computation
qalg_links.hpp,variable,Q_DEGREE_DELTA,qDegreeDelta,Q degree delta for negative binomial
qalg_links.hpp,variable,binom,binomialCoefficients,Vector storing binomial coefficients
qalg_links.hpp,variable,term_,temporaryTerm,Temporary term storage for computation
qalg_links.hpp,parameter,up,upperBound,Upper bound for Pochhammer computation
qalg_links.hpp,parameter,low,lowerBound,Lower bound for Pochhammer computation
qalg_links.hpp,parameter,component,componentIndex,Component index for multivariable computation
qalg_links.hpp,parameter,components,totalComponents,Total number of components
qalg_links.hpp,parameter,lengths,componentLengths,Lengths of each component
qalg_links.hpp,parameter,blocks,blockSizes,Block sizes for indexing
qalg_links.hpp,variable,z,iterationVariable,Loop iteration variable
qalg_links.hpp,variable,w,widthVariable,Width iteration variable
qalg_links.hpp,variable,r,rankVariable,Rank variable for inverse Pochhammer
linalg.hpp,function,mult,multiplyMatrixVector,Multiplies matrix by vector
linalg.hpp,function,multT,multiplyMatrixVectorTranspose,Multiplies transposed matrix by vector
linalg.hpp,function,dot,computeDotProduct,Computes dot product with offset
linalg.hpp,function,matrix_index_column_recurse,matrixIndexColumnRecursive,Recursive helper for matrix column indexing
linalg.hpp,function,matrix_index_column,matrixIndexColumn,Performs matrix column indexing operation
linalg.hpp,function,offset_addition_recurse,offsetAdditionRecursive,Recursive helper for offset addition
linalg.hpp,function,offset_addition,performOffsetAddition,Performs offset addition between bilvector arrays
linalg.hpp,parameter,matrix,inputMatrix,Input matrix for multiplication
linalg.hpp,parameter,vector,inputVector,Input vector for multiplication
linalg.hpp,variable,out,resultVector,Result vector from matrix operations
linalg.hpp,variable,acc,accumulator,Accumulator for computation
linalg.hpp,parameter,dim,dimensions,Number of dimensions
linalg.hpp,parameter,slice,sliceIndex,Index of slice to operate on
linalg.hpp,parameter,value,sliceValue,Value for the slice
linalg.hpp,parameter,index,currentIndex,Current recursion index
linalg.hpp,parameter,term,polynomialTerms,Polynomial terms array
linalg.hpp,parameter,r,rankOffset,Rank offset for indexing
linalg.hpp,parameter,z,zVariable,Z variable for computation
linalg.hpp,parameter,sign,signMultiplier,Sign multiplier for addition
linalg.hpp,parameter,blocks,blockSizes,Block sizes for indexing
linalg.hpp,parameter,a,targetArray,Target array for offset addition
linalg.hpp,parameter,b,sourceArray,Source array for offset addition
linalg.hpp,parameter,offsets,offsetVector,Vector of offsets for addition
linalg.hpp,parameter,bilvector_offset,bilvectorOffset,Offset for bilvector indexing
