Name,Two-Bridge Notation,Fibered,Crossing Number,Bridge Index,Braid Notation
3_1,[3;1],Y,3,2,{1;1;1}
4_1,[5;2],Y,4,2,{1;-2;1;-2}
5_1,[5;1],Y,5,2,{1;1;1;1;1}
6_2,[11;3],Y,6,2,{1;1;1;-2;1;-2}
6_3,[13;5],Y,6,2,{1;1;-2;1;-2;-2}
7_1,[7;1],Y,7,2,{1;1;1;1;1;1;1}
7_6,[19;7],Y,7,2,{1;1;-2;1;3;-2;3}
7_7,[21;8],Y,7,2,{-1;2;-1;2;-3;2;-3}
8_2,[17;3],Y,8,2,{1;1;1;1;1;-2;1;-2}
8_7,[23;9],Y,8,2,{-1;-1;-1;-1;2;-1;2;2}
8_9,[25;7],Y,8,2,{1;1;1;-2;1;-2;-2;-2}
8_12,[29;12],Y,8,2,{1;-2;1;3;-2;-4;3;-4}
9_1,[9;1],Y,9,2,{1;1;1;1;1;1;1;1;1}
9_11,[33;14],Y,9,2,{-1;-1;-1;-1;2;-1;-3;2;-3}
9_17,[39;14],Y,9,2,{-1;2;-1;2;2;2;-3;2;-3}
9_20,[41;11],Y,9,2,{1;1;1;-2;1;3;-2;3;3}
9_26,[47;18],Y,9,2,{-1;-1;-1;2;-1;2;-3;2;-3}
9_27,[49;19],Y,9,2,{1;1;-2;1;-2;-2;3;-2;3}
9_31,[55;21],Y,9,2,{1;1;-2;1;-2;3;-2;3;3}
