# Forecast Table - Crossing Number 0 (Braid Length 6)
# Reference CPU: 3.2 GHz (M1 2020)
# Target CPU: 3.2 GHz
# Fit Quality (R²): 0.971996

Degree,Ground_Truth_Time_Seconds,Ground_Truth_Formatted_Time,Ground_Truth_Cycles,Ground_Truth_Formatted_Cycles,Predicted_Time_Seconds,Predicted_Formatted_Time,Status
5,1.230000,1.23s,3936000000,3.94G,1.230000,1.23s,measured
6,1.230000,1.23s,3936000000,3.94G,1.230000,1.23s,measured
7,1.240000,1.24s,3968000000,3.97G,1.240000,1.24s,measured
8,1.240000,1.24s,3968000000,3.97G,1.240000,1.24s,measured
9,1.240000,1.24s,3968000000,3.97G,1.240000,1.24s,measured
10,0.900000,0.90s,2880000000,2.88G,0.900000,0.90s,measured
11,0.890000,0.89s,2848000000,2.85G,0.890000,0.89s,measured
12,0.920000,0.92s,2944000000,2.94G,0.920000,0.92s,measured
13,0.960000,0.96s,3072000000,3.07G,0.960000,0.96s,measured
14,1.020000,1.02s,3264000000,3.26G,1.020000,1.02s,measured
15,1.110000,1.11s,3552000000,3.55G,1.110000,1.11s,measured
16,0.650000,0.65s,2080000000,2.08G,0.650000,0.65s,measured
17,0.740000,0.74s,2368000000,2.37G,0.740000,0.74s,measured
18,0.870000,0.87s,2784000000,2.78G,0.870000,0.87s,measured
19,1.070000,1.07s,3424000000,3.42G,1.070000,1.07s,measured
20,1.360000,1.36s,4352000000,4.35G,1.360000,1.36s,measured
21,1.770000,1.77s,5664000000,5.66G,1.770000,1.77s,measured
22,2.340000,2.34s,7488000000,7.49G,2.340000,2.34s,measured
23,3.180000,3.18s,10176000000,10.18G,3.180000,3.18s,measured
24,4.300000,4.30s,13760000000,13.76G,4.300000,4.30s,measured
25,5.780000,5.78s,18496000000,18.50G,5.780000,5.78s,measured
26,8.836980,8.84s,28278335199,28.28G,8.836980,8.84s,predicted
27,13.401414,13.40s,42884523406,42.88G,13.401414,13.40s,predicted
28,20.616286,20.62s,65972114262,65.97G,20.616286,20.62s,predicted
29,32.020631,32.02s,102466019721,102.47G,32.020631,32.02s,predicted
30,50.047159,50.05s,160150909579,160.15G,50.047159,50.05s,predicted
31,78.541185,1.31m,251331792419,251.33G,78.541185,1.31m,predicted
32,123.580890,2.06m,395458849190,395.46G,123.580890,2.06m,predicted
33,194.773886,3.25m,623276433824,623.28G,194.773886,3.25m,predicted
34,307.306651,5.12m,983381281805,983.38G,307.306651,5.12m,predicted
35,485.184027,8.09m,1552588885986,1.55T,485.184027,8.09m,predicted
36,766.349792,12.77m,2452319335253,2.45T,766.349792,12.77m,predicted
37,1210.780609,20.18m,3874497948806,3.87T,1210.780609,20.18m,predicted
38,1913.279900,31.89m,6122495680232,6.12T,1913.279900,31.89m,predicted
39,3023.700770,50.40m,9675842462654,9.68T,3023.700770,50.40m,predicted
40,4778.911804,1.33h,15292517773147,15.29T,4778.911804,1.33h,predicted
41,7553.324516,2.10h,24170638450693,24.17T,7553.324516,2.10h,predicted
42,11938.760651,3.32h,38204034082056,38.20T,11938.760651,3.32h,predicted
43,18870.696195,5.24h,60386227825430,60.39T,18870.696195,5.24h,predicted
44,29827.811730,8.29h,95448997535196,95.45T,29827.811730,8.29h,predicted
45,47147.416053,13.10h,150871731370411,150.87T,47147.416053,13.10h,predicted
46,74524.027442,20.70h,238476887813984,238.48T,74524.027442,20.70h,predicted
47,117797.467015,1.36d,376951894447929,376.95T,117797.467015,1.36d,predicted
48,186198.575754,2.16d,595835442411484,595.84T,186198.575754,2.16d,predicted
49,294318.284351,3.41d,941818509924613,941.82T,294318.284351,3.41d,predicted
50,465220.066543,5.38d,1488704212936550,1.49P,465220.066543,5.38d,predicted
