# Forecast Table - Braid Length 12
# CPU Frequency: 3.2 GHz
# Fit Quality (R²): 0.999900
Degree,Time_Seconds,Formatted_Time,Clock_Cycles,Formatted_Cycles,Status
5,1.100000,1.10s,3520000000,3.52G,measured
6,0.930000,0.93s,2976000000,2.98G,measured
7,1.000000,1.00s,3200000000,3.20G,measured
8,1.110000,1.11s,3552000000,3.55G,measured
9,0.670000,0.67s,2144000000,2.14G,measured
10,0.810000,0.81s,2592000000,2.59G,measured
11,1.050000,1.05s,3360000000,3.36G,measured
12,1.440000,1.44s,4608000000,4.61G,measured
13,2.040000,2.04s,6528000000,6.53G,measured
14,2.980000,2.98s,9536000000,9.54G,measured
15,4.490000,4.49s,14368000000,14.37G,measured
16,6.670000,6.67s,21344000000,21.34G,measured
17,9.950000,9.95s,31839999999,31.84G,measured
18,14.920000,14.92s,47744000000,47.74G,measured
19,22.330000,22.33s,71456000000,71.46G,measured
20,33.510000,33.51s,107232000000,107.23G,measured
21,49.340000,49.34s,157888000000,157.89G,measured
22,74.110000,1.24m,237152000000,237.15G,measured
23,107.060000,1.78m,342592000000,342.59G,measured
24,158.260000,2.64m,506432000000,506.43G,measured
25,230.830000,3.85m,738656000000,738.66G,measured
26,340.339807,5.67m,1089087381741,1.09T,predicted
27,500.397332,8.34m,1601271463002,1.60T,predicted
28,735.742898,12.26m,2354377273941,2.35T,predicted
29,1081.790579,18.03m,3461729851307,3.46T,predicted
30,1590.612560,26.51m,5089960191303,5.09T,predicted
31,2338.774802,38.98m,7484079367322,7.48T,predicted
32,3438.858450,57.31m,11004347039641,11.00T,predicted
33,5056.400693,1.40h,16180482216582,16.18T,predicted
34,7434.804292,2.07h,23791373735042,23.79T,predicted
35,10931.964077,3.04h,34982285047371,34.98T,predicted
36,16074.121853,4.47h,51437189928967,51.44T,predicted
37,23635.053641,6.57h,75632171651685,75.63T,predicted
38,34752.505109,9.65h,111208016348145,111.21T,predicted
39,51099.396021,14.19h,163518067265782,163.52T,predicted
40,75135.556040,20.87h,240433779326948,240.43T,predicted
41,110477.872299,1.28d,353529191357634,353.53T,predicted
42,162444.547409,1.88d,519822551707975,519.82T,predicted
43,238855.366159,2.76d,764337171709581,764.34T,predicted
44,351208.392591,4.06d,1123866856289723,1.12P,predicted
45,516410.163160,5.98d,1652512522113089,1.65P,predicted
46,759319.730141,8.79d,2429823136451355,2.43P,predicted
47,1116489.375038,12.92d,3572766000121410,3.57P,predicted
48,1641664.883032,19.00d,5253327625703225,5.25P,predicted
49,2413873.042762,27.94d,7724393736837813,7.72P,predicted
50,3549313.353431,41.08d,11357802730979192,11.36P,predicted
