Name,Fibered,Crossing Number,Braid Notation,Montesinos Notation
3_1,Y,3,{1;1;1},K(1/3)
4_1,Y,4,{1;-2;1;-2},K(2/5)
5_1,Y,5,{1;1;1;1;1},K(1/5)
6_2,Y,6,{1;1;1;-2;1;-2},K(4/11)
6_3,Y,6,{1;1;-2;1;-2;-2},K(5/13)
7_1,Y,7,{1;1;1;1;1;1;1},K(1/7)
7_6,Y,7,{1;1;-2;1;3;-2;3},K(7/19)
7_7,Y,7,{-1;2;-1;2;-3;2;-3},K(8/21)
8_2,Y,8,{1;1;1;1;1;-2;1;-2},K(6/17)
8_5,Y,8,{1;1;1;-2;1;1;1;-2},K(1/3;1/3;1/2)
8_7,Y,8,{-1;-1;-1;-1;2;-1;2;2},K(9/23)
8_9,Y,8,{1;1;1;-2;1;-2;-2;-2},K(7/25)
8_10,Y,8,{-1;-1;-1;2;-1;-1;2;2},K(1/3;2/3;1/2)
8_12,Y,8,{1;-2;1;3;-2;-4;3;-4},K(12/29)
8_16,Y,8,{-1;-1;2;-1;-1;2;-1;2},Not Montesinos
8_17,Y,8,{1;1;-2;1;-2;1;-2;-2},Not Montesinos
8_18,Y,8,{1;-2;1;-2;1;-2;1;-2},Not Montesinos
8_19,Y,8,{1;1;1;2;1;1;1;2},K(1/3;1/3;-1/2)
8_20,Y,8,{1;1;1;-2;-1;-1;-1;-2},K(1/3;2/3;-1/2)
8_21,Y,8,{1;1;1;2;-1;-1;2;2},K(2/3;2/3;-1/2)
9_1,Y,9,{1;1;1;1;1;1;1;1;1},K(1/9)
9_11,Y,9,{-1;-1;-1;-1;2;-1;-3;2;-3},K(14/33)
9_17,Y,9,{-1;2;-1;2;2;2;-3;2;-3},K(14/39)
9_20,Y,9,{1;1;1;-2;1;3;-2;3;3},K(15/41)
9_22,Y,9,{-1;2;-1;2;-3;2;2;2;-3},K(3/5;1/3;1/2)
9_24,Y,9,{1;1;-2;1;3;-2;-2;-2;3},K(1/3;2/3;3/2)
9_26,Y,9,{-1;-1;-1;2;-1;2;-3;2;-3},K(18/47)
9_27,Y,9,{1;1;-2;1;-2;-2;3;-2;3},K(19/49)
9_28,Y,9,{1;1;-2;1;3;-2;-2;3;3},K(2/3;2/3;3/2)
9_29,Y,9,{1;-2;-2;3;-2;1;-2;3;-2},Not Montesinos
9_30,Y,9,{-1;-1;2;2;-1;2;-3;2;-3},K(3/5;2/3;1/2)
9_31,Y,9,{1;1;-2;1;-2;3;-2;3;3},K(21/55)
9_32,Y,9,{-1;-1;-3;2;-3;-1;2;-1;2},Not Montesinos
9_33,Y,9,{-1;-3;2;-3;-1;2;2;-1;2},Not Montesinos
