Time taken for sign assignment at length 8: 1.21 seconds, Max memory: 101.71875 MiB
Braid length: 8, Degree: 5, Time taken: 1.25 seconds, Max memory: 101.71875 MiB
Braid length: 8, Degree: 6, Time taken: 0.90 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 7, Time taken: 0.94 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 8, Time taken: 1.02 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 9, Time taken: 1.14 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 10, Time taken: 0.71 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 11, Time taken: 0.87 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 12, Time taken: 1.17 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 13, Time taken: 1.64 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 14, Time taken: 2.42 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 15, Time taken: 3.62 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 16, Time taken: 5.48 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 17, Time taken: 8.37 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 18, Time taken: 12.69 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 19, Time taken: 19.63 seconds, Max memory: 101.734375 MiB
Braid length: 8, Degree: 20, Time taken: 30.03 seconds, Max memory: 95.34375 MiB
Braid length: 8, Degree: 21, Time taken: 45.24 seconds, Max memory: 44.703125 MiB
Braid length: 8, Degree: 22, Time taken: 67.34 seconds, Max memory: 29.015625 MiB
Braid length: 8, Degree: 23, Time taken: 99.46 seconds, Max memory: 28.96875 MiB
Braid length: 8, Degree: 24, Time taken: 146.53 seconds, Max memory: 29.203125 MiB
Braid length: 8, Degree: 25, Time taken: 219.64 seconds, Max memory: 28.46875 MiB
Time taken for sign assignment at length 10: 1.85 seconds, Max memory: 28.875 MiB
Braid length: 10, Degree: 5, Time taken: 0.90 seconds, Max memory: 29.765625 MiB
Braid length: 10, Degree: 6, Time taken: 0.93 seconds, Max memory: 29.796875 MiB
Braid length: 10, Degree: 7, Time taken: 1.03 seconds, Max memory: 29.9375 MiB
Braid length: 10, Degree: 8, Time taken: 1.10 seconds, Max memory: 29.984375 MiB
Braid length: 10, Degree: 9, Time taken: 1.23 seconds, Max memory: 30.578125 MiB
Braid length: 10, Degree: 10, Time taken: 0.79 seconds, Max memory: 30.578125 MiB
Braid length: 10, Degree: 11, Time taken: 0.98 seconds, Max memory: 30.578125 MiB
Braid length: 10, Degree: 12, Time taken: 1.31 seconds, Max memory: 30.59375 MiB
Braid length: 10, Degree: 13, Time taken: 1.86 seconds, Max memory: 30.609375 MiB
