Braid_Length,Degree,Sign_Assignment_Time,Sign_Assignment_Memory,Computation_Time,Computation_Memory,Knot_Index
3,5,0.10,59.46,0.14,69.81,0
3,6,0.10,59.46,0.16,69.81,0
3,7,0.10,59.46,0.08,69.81,0
3,8,0.10,59.46,0.16,69.82,0
3,9,0.10,59.46,0.10,69.81,0
3,10,0.10,59.46,0.13,69.81,0
3,11,0.10,59.46,0.09,69.81,0
3,12,0.10,59.46,0.14,69.81,0
3,13,0.10,59.46,0.13,69.82,0
3,14,0.10,59.46,0.12,69.81,0
3,15,0.10,59.46,0.12,69.81,0
3,16,0.10,59.46,0.13,69.81,0
3,17,0.10,59.46,0.13,69.81,0
3,18,0.10,59.46,0.07,69.82,0
3,19,0.10,59.46,0.09,69.81,0
3,20,0.10,59.46,0.17,69.81,0
3,21,0.10,59.46,0.14,69.81,0
3,22,0.10,59.46,0.17,69.82,0
3,23,0.10,59.46,0.10,69.81,0
3,24,0.10,59.46,0.08,69.81,0
3,25,0.10,59.46,0.12,69.81,0
3,26,0.10,59.46,0.14,69.81,0
3,27,0.10,59.46,0.30,69.81,0
3,28,0.10,59.46,0.14,69.81,0
3,29,0.10,59.46,0.09,69.81,0
3,30,0.10,59.46,0.13,69.81,0
3,31,0.10,59.46,0.15,69.81,0
3,32,0.10,59.46,0.15,69.81,0
5,5,0.08,59.46,0.10,69.82,0
5,6,0.08,59.46,0.17,69.82,0
5,7,0.08,59.46,0.18,69.82,0
5,8,0.08,59.46,0.17,69.82,0
5,9,0.08,59.46,0.20,69.82,0
5,10,0.08,59.46,0.22,69.82,0
5,11,0.08,59.46,0.28,69.82,0
5,12,0.08,59.46,0.26,69.82,0
5,13,0.08,59.46,0.17,69.82,0
5,14,0.08,59.46,0.31,69.82,0
5,15,0.08,59.46,0.36,69.82,0
5,16,0.08,59.46,0.45,69.82,0
5,17,0.08,59.46,0.29,69.82,0
5,18,0.08,59.46,0.24,69.82,0
5,19,0.08,59.46,0.38,69.82,0
5,20,0.08,59.46,0.57,69.82,0
5,21,0.08,59.46,0.50,69.82,0
5,22,0.08,59.46,0.74,69.82,0
5,23,0.08,59.46,0.89,69.82,0
5,24,0.08,59.46,1.13,69.82,0
5,25,0.08,59.46,1.24,69.82,0
5,26,0.08,59.46,1.57,69.82,0
5,27,0.08,59.46,2.22,69.82,0
5,28,0.08,59.46,2.52,69.82,0
5,29,0.08,59.46,3.23,69.82,0
5,30,0.08,59.46,4.03,69.82,0
5,31,0.08,59.46,4.99,69.82,0
5,32,0.08,59.46,5.59,69.82,0
4,5,0.09,59.46,0.14,69.81,0
4,6,0.09,59.46,0.16,69.81,0
4,7,0.09,59.46,0.17,69.81,0
4,8,0.09,59.46,0.09,69.81,0
