Braid_Length,Degree,Sign_Assignment_Time,Sign_Assignment_Memory,Computation_Time,Computation_Memory,Knot_Index
3,5,2.62,98.17,1.23,100.58,0
3,6,2.62,98.17,1.21,100.67,0
3,7,2.62,98.17,1.22,100.69,0
3,8,2.62,98.17,1.21,100.69,0
3,9,2.62,98.17,1.21,100.69,0
3,10,2.62,98.17,1.21,100.69,0
3,11,2.62,98.17,1.21,100.69,0
3,12,2.62,98.17,1.21,100.69,0
3,13,2.62,98.17,1.21,100.70,0
3,14,2.62,98.17,1.21,100.70,0
3,15,2.62,98.17,1.21,100.70,0
3,16,2.62,98.17,1.21,100.70,0
3,17,2.62,98.17,1.21,100.70,0
3,18,2.62,98.17,1.22,100.72,0
3,19,2.62,98.17,1.21,100.72,0
3,20,2.62,98.17,1.22,100.72,0
3,21,2.62,98.17,1.22,100.72,0
3,22,2.62,98.17,1.22,100.72,0
3,23,2.62,98.17,1.22,100.72,0
3,24,2.62,98.17,1.22,100.73,0
3,25,2.62,98.17,1.22,100.73,0
4,5,2.63,100.73,1.22,100.77,0
4,6,2.63,100.73,1.21,100.77,0
4,7,2.63,100.73,1.22,100.78,0
4,8,2.63,100.73,1.22,100.80,0
4,9,2.63,100.73,1.22,100.80,0
4,10,2.63,100.73,1.24,100.80,0
4,11,2.63,100.73,1.40,100.80,0
4,12,2.63,100.73,1.34,80.66,0
4,13,2.63,100.73,1.29,79.03,0
4,14,2.63,100.73,1.29,78.92,0
4,15,2.63,100.73,0.89,78.92,0
4,16,2.63,100.73,0.92,78.92,0
4,17,2.63,100.73,0.95,78.92,0
4,18,2.63,100.73,0.95,78.92,0
4,19,2.63,100.73,1.00,78.94,0
4,20,2.63,100.73,1.03,78.94,0
4,21,2.63,100.73,1.10,78.94,0
4,22,2.63,100.73,1.18,78.94,0
4,23,2.63,100.73,0.66,78.94,0
4,24,2.63,100.73,0.77,79.50,0
4,25,2.63,100.73,0.87,79.56,0
5,5,2.90,79.38,1.60,79.62,0
5,6,2.90,79.38,1.36,30.83,0
5,7,2.90,79.38,1.22,30.72,0
5,8,2.90,79.38,1.29,30.97,0
5,9,2.90,79.38,1.29,30.86,0
5,10,2.90,79.38,1.26,30.86,0
5,11,2.90,79.38,1.28,30.86,0
