Braid_Length,Degree,Computation_Time_seconds,Computation_Memory_MB,KnotInfo_ID
8,5,0.08,90.61,8_21
8,5,0.13,100.49,8_20
9,5,0.17,105.05,9_42
9,5,0.15,105.32,9_44
9,5,0.09,105.38,9_45
10,5,0.09,104.25,10_143
10,5,0.14,105.52,10_148
10,5,0.09,105.53,10_125
11,5,0.17,105.25,11n_70
11,5,0.07,103.79,11n_105
11,5,0.09,105.17,11n_25
12,5,0.17,107.07,10_105
12,5,0.20,108.93,12n_161
12,5,0.20,109.51,12n_4
8,8,0.14,109.31,8_21
8,8,0.38,109.73,8_20
9,8,0.26,109.70,9_45
9,8,0.45,110.47,9_42
9,8,0.47,110.82,9_44
10,8,0.50,110.88,10_148
10,8,0.45,110.88,10_155
10,8,0.93,110.88,10_137
11,8,0.38,110.88,11n_108
11,8,0.32,110.97,11n_156
11,8,0.50,111.00,11n_52
12,8,1.07,111.00,12n_749
12,8,0.28,110.34,12n_353
12,8,0.28,108.81,12n_400
8,11,0.34,108.89,8_21
8,11,1.15,108.89,8_20
9,11,2.09,110.30,9_45
9,11,3.82,110.30,9_42
9,11,4.03,109.50,9_44
10,11,0.93,109.53,10_125
10,11,2.64,110.97,10_157
10,11,10.66,110.97,10_137
11,11,4.21,109.75,11n_105
11,11,7.25,110.57,11n_19
11,11,5.53,111.01,11n_96
12,11,3.28,111.32,11n_115
12,11,3.89,111.33,11n_8
12,11,2.94,111.63,12n_614
8,14,1.81,111.63,8_21
8,14,7.53,111.92,8_20
9,14,30.92,111.92,9_44
9,14,26.80,112.43,9_42
9,14,14.52,112.50,9_45
10,14,65.12,112.52,10_148
10,14,8.57,112.54,10_127
10,14,21.81,112.54,10_161
11,14,70.09,112.59,11n_176
11,14,32.12,112.61,11n_143
11,14,40.79,112.61,11n_135
12,14,65.46,112.66,11n_165
12,14,12.47,112.66,12n_113
12,14,3122.44,112.80,12n_25
8,17,39.20,113.94,8_20
8,17,8.21,113.94,8_21
9,17,158.41,113.96,9_42
9,17,195.70,113.97,9_44
9,17,91.88,113.96,9_45
10,17,728.75,113.96,10_137
10,17,155.32,113.17,10_157
10,17,8.64,113.25,10_159
11,17,256.63,113.25,10_153
11,17,404.43,113.25,11n_12
11,17,381.89,113.66,11n_21
12,17,801.28,114.59,12n_461
12,17,1138.39,114.59,12n_348
12,17,127.27,114.64,12n_273
8,20,196.45,114.65,8_20
8,20,36.50,114.65,8_21
9,20,1090.44,114.65,9_44
9,20,860.36,114.75,9_42
9,20,401.12,114.84,9_45
10,20,2798.17,114.84,10_155
10,20,844.49,114.85,10_157
10,20,93.27,114.85,10_149
11,20,589.23,114.85,10_160
11,20,483.37,114.85,11n_87
11,20,3717.01,114.89,11n_128
12,20,756.89,115.27,12n_747
