name,n_crossings,n_components,n_s_total,perm_candidates_closed,fully_generic_sign_diagrams,ratio_candidates_over_full,log2_ratio_candidates_over_full,seconds,error
10_100,10,1,20,73,1048576,6.961822509765625e-05,-13.810175441119982,0.15886998176574707,
10_104,10,1,20,73,1048576,6.961822509765625e-05,-13.810175441119982,0.002400636672973633,
10_105,12,1,24,95,16777216,5.662441253662109e-06,-17.430144391669053,0.00862574577331543,
10_106,10,1,20,74,1048576,7.05718994140625e-05,-13.79054663437105,0.0035314559936523438,
10_107,12,1,24,98,16777216,5.841255187988281e-06,-17.385290155884793,0.016254663467407227,
10_109,10,1,20,74,1048576,7.05718994140625e-05,-13.79054663437105,0.003766775131225586,
10_110,12,1,24,96,16777216,5.7220458984375e-06,-17.415037499278846,0.01732039451599121,
10_112,10,1,20,70,1048576,6.67572021484375e-05,-13.870716983055033,0.002580881118774414,
10_115,12,1,24,98,16777216,5.841255187988281e-06,-17.385290155884793,0.00493931770324707,
10_116,10,1,20,67,1048576,6.389617919921875e-05,-13.933910809542228,0.002404928207397461,
10_118,10,1,20,68,1048576,6.4849853515625e-05,-13.912537158749661,0.0035429000854492188,
10_123,10,1,20,65,1048576,6.198883056640625e-05,-13.977632186971546,0.003413677215576172,
10_124,10,1,20,68,1048576,6.4849853515625e-05,-13.912537158749661,0.0032634735107421875,
10_125,10,1,20,50,1048576,4.76837158203125e-05,-14.356143810225277,0.0019729137420654297,
10_126,10,1,20,62,1048576,5.91278076171875e-05,-14.045803689613125,0.0022940635681152344,
10_127,10,1,20,58,1048576,5.53131103515625e-05,-14.142019004872427,0.0035572052001953125,
10_132,11,1,22,54,4194304,1.2874603271484375e-05,-16.24511249783653,0.0065271854400634766,
10_133,11,1,22,75,4194304,1.7881393432617188e-05,-15.771181309504119,0.00574040412902832,
10_136,11,1,22,62,4194304,1.4781951904296875e-05,-16.045803689613123,0.0051801204681396484,
10_137,10,1,20,55,1048576,5.245208740234375e-05,-14.21864028647534,0.002247333526611328,
10_138,10,1,20,61,1048576,5.817413330078125e-05,-14.069262662437113,0.0024704933166503906,
10_139,10,1,20,60,1048576,5.7220458984375e-05,-14.09310940439148,0.0035104751586914062,
10_140,11,1,22,56,4194304,1.33514404296875e-05,-16.192645077942394,0.006944894790649414,
10_141,10,1,20,52,1048576,4.9591064453125e-05,-14.29956028185891,0.005472898483276367,
10_143,10,1,20,54,1048576,5.14984130859375e-05,-14.245112497836532,0.002566814422607422,
10_145,11,1,22,53,4194304,1.2636184692382812e-05,-16.272079545436803,0.003227710723876953,
10_148,10,1,20,54,1048576,5.14984130859375e-05,-14.245112497836532,0.002742767333984375,
10_149,10,1,20,53,1048576,5.054473876953125e-05,-14.272079545436801,0.0022039413452148438,
10_150,11,1,22,67,4194304,1.5974044799804688e-05,-15.933910809542228,0.0013675689697265625,
10_151,11,1,22,67,4194304,1.5974044799804688e-05,-15.933910809542228,0.0018351078033447266,
10_152,10,1,20,56,1048576,5.340576171875e-05,-14.192645077942396,0.0037605762481689453,
10_153,11,1,22,83,4194304,1.9788742065429688e-05,-15.624960568653076,0.004387855529785156,
10_154,11,1,22,58,4194304,1.3828277587890625e-05,-16.142019004872427,0.007549762725830078,
10_155,10,1,20,48,1048576,4.57763671875e-05,-14.415037499278844,0.001321554183959961,
10_156,11,1,22,71,4194304,1.6927719116210938e-05,-15.850252880495319,0.00436711311340332,
10_157,10,1,20,48,1048576,4.57763671875e-05,-14.415037499278844,0.002471446990966797,
10_158,11,1,22,72,4194304,1.71661376953125e-05,-15.830074998557688,0.004044771194458008,
10_159,10,1,20,52,1048576,4.9591064453125e-05,-14.29956028185891,0.0024929046630859375,
10_160,11,1,22,72,4194304,1.71661376953125e-05,-15.830074998557688,0.003726959228515625,
10_161,10,1,20,50,1048576,4.76837158203125e-05,-14.356143810225277,0.0021424293518066406,
10_163,11,1,22,72,4194304,1.71661376953125e-05,-15.830074998557688,0.0032248497009277344,
10_17,10,1,20,85,1048576,8.106231689453125e-05,-13.5906090638623,0.0033855438232421875,
10_2,10,1,20,101,1048576,9.632110595703125e-05,-13.341788517248204,0.002514362335205078,
10_29,10,1,20,80,1048576,7.62939453125e-05,-13.678071905112638,0.002916574478149414,
10_41,10,1,20,81,1048576,7.724761962890625e-05,-13.660149997115376,0.0020940303802490234,
10_42,10,1,20,78,1048576,7.43865966796875e-05,-13.714597781137751,0.0028984546661376953,
10_43,10,1,20,77,1048576,7.343292236328125e-05,-13.733213459305098,0.0034503936767578125,
10_44,10,1,20,76,1048576,7.2479248046875e-05,-13.752072486556415,0.0028312206268310547,
10_45,10,1,20,76,1048576,7.2479248046875e-05,-13.752072486556415,0.0027954578399658203,
10_46,10,1,20,89,1048576,8.487701416015625e-05,-13.524266569033603,0.0021669864654541016,
10_47,10,1,20,89,1048576,8.487701416015625e-05,-13.524266569033603,0.0026259422302246094,
10_48,10,1,20,81,1048576,7.724761962890625e-05,-13.660149997115376,0.0026938915252685547,
10_5,10,1,20,94,1048576,8.96453857421875e-05,-13.445411148322362,0.0019214153289794922,
10_59,10,1,20,82,1048576,7.82012939453125e-05,-13.642447995381916,0.001966238021850586,
